DEPARTAMENTO,SEXO,POBLACION,INDICE
AMAZONAS,1259,426806,295
ANCASH,6693,1180638,567
APURIMAC,1515,430736,352
AREQUIPA,9692,1497438,647
AYACUCHO,2128,668213,318
CAJAMARCA,4138,1453711,285
CALLAO,9990,1129854,884
CUSCO,4804,1357075,354
HUANCAVELICA,1167,365317,319
HUANUCO,2705,760267,356
ICA,8389,975182,860
JUNIN,7032,1361467,517
LA LIBERTAD,10225,2016771,507
LAMBAYEQUE,8617,1310785,657
LIMA,88887,10628470,836
LORETO,4177,1027559,406
MADRE DE DIOS,775,173811,446
MOQUEGUA,1521,192740,789
PASCO,1051,271904,387
PIURA,12042,2047954,588
PUNO,4195,1237997,339
SAN MARTIN,3008,899648,334
TACNA,1965,370974,530
TUMBES,1572,251521,625
UCAYALI,3086,589110,524
